Ref,Val,Package,PosX,PosY,Rot,Side
"R54","Jumper-Pad-Pad","PAD-0805-PAD",-74.995000,71.000000,0.000000,bottom
"F1","12H1500D","PAD-1206-PAD",68.400000,65.500000,-90.000000,top
"F2","12H1500D","PAD-1206-PAD",53.000000,65.000000,-90.000000,top
"F3","12H1500D","PAD-1206-PAD",50.500000,65.000000,-90.000000,top
"J1","rusefi_2x56_pin_conn","rusefi_2x56_pin_connector",77.404267,89.716479,0.000000,top
"R1","Jumper-Pad-Pad","PAD-0805-PAD",64.000000,65.500000,-90.000000,top
"R2","Jumper-Pad-Pad","PAD-0805-PAD",60.500000,65.500000,-90.000000,top
"R3","Jumper-Pad-Pad","PAD-0805-PAD",55.300000,65.500000,-90.000000,top
"R4","Jumper-Pad-Pad","PAD-0805-PAD",71.400000,65.500000,-90.000000,top
"R5","Jumper-Pad-Pad","PAD-0805-PAD",57.800000,65.500000,-90.000000,top
"R6","Jumper-Pad-Pad","PAD-0805-PAD",77.000000,65.500000,-90.000000,top
"R7","Jumper-Pad-Pad","PAD-0805-PAD",75.100000,65.500000,-90.000000,top
"R8","Jumper-Pad-Pad","PAD-0805-PAD",73.300000,65.500000,-90.000000,top
"R9","Jumper-Pad-Pad","PAD-0805-PAD",37.500000,66.500000,-90.000000,top
"R10","Jumper-Pad-Pad","PAD-0805-PAD",35.500000,66.500000,-90.000000,top
"R11","Jumper-Pad-Pad","PAD-0805-PAD",10.095000,68.500000,0.000000,top
"R12","Jumper-Pad-Pad","PAD-0805-PAD",22.000000,66.500000,-90.000000,top
"R13","Jumper-Pad-Pad","PAD-0805-PAD",33.500000,66.500000,-90.000000,top
"R14","Jumper-Pad-Pad","PAD-0805-PAD",31.500000,66.500000,-90.000000,top
"R15","Jumper-Pad-Pad","PAD-0805-PAD",28.250000,66.500000,-90.000000,top
"R16","Jumper-Pad-Pad","PAD-0805-PAD",24.500000,66.500000,-90.000000,top
